delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,07:14:08,33
2,2,Delivered,01:56:16,7
3,3,Delivered,09:05:08,5
4,4,Delivered,06:49:34,12
5,5,Delivered,08:24:05,28
6,6,Delivered,12:08:51,3
7,7,Delivered,12:36:30,13
8,8,Delivered,12:40:08,14
9,9,Delivered,04:44:12,4
10,10,Delivered,03:03:58,23
11,11,Delivered,03:30:35,30
12,12,Delivered,06:53:21,6
13,13,Delivered,07:06:41,33
14,14,Delivered,04:01:17,23
15,15,Delivered,09:38:05,1
16,16,Delivered,06:37:48,4
17,17,Not Delivered,01:45:27,20
18,18,Delivered,10:19:15,24
19,19,Delivered,12:12:55,32
20,20,Delivered,10:31:13,28
21,21,Delivered,10:45:01,34
22,22,Delivered,08:09:37,12
23,23,Delivered,03:26:58,6
24,24,Delivered,04:46:38,17
25,25,Not Delivered,02:28:04,32
26,26,Delivered,06:48:45,23
27,27,Delivered,06:23:17,26
28,28,Delivered,05:00:09,24
29,29,Delivered,11:03:10,19
30,30,Delivered,08:43:18,20
31,31,Delivered,02:30:54,18
32,32,Delivered,09:23:05,23
33,33,Not Delivered,05:16:52,15
34,34,Delivered,01:58:34,3
35,35,Delivered,00:34:29,2
36,36,Delivered,03:25:04,13
37,37,Delivered,09:43:58,1
38,38,Delivered,03:56:24,5
39,39,Delivered,11:33:41,27
40,40,Delivered,08:35:40,6
41,41,Delivered,12:49:22,16
42,42,Delivered,11:49:15,7
43,43,Delivered,02:49:31,1
44,44,Delivered,09:15:18,23
45,45,Delivered,04:45:31,4
46,46,Delivered,10:26:00,32
47,47,Delivered,02:58:27,15
48,48,Delivered,08:13:43,10
49,49,Delivered,03:49:48,31
50,50,Delivered,03:45:14,25
51,51,Delivered,00:29:26,15
52,52,Delivered,00:43:46,4
53,53,Delivered,06:19:05,27
54,54,Delivered,07:20:48,5
55,55,Delivered,00:02:55,32
56,56,Delivered,08:25:59,13
57,57,Delivered,11:29:44,16
58,58,Delivered,10:44:40,16
59,59,Delivered,09:31:12,23
60,60,Delivered,04:13:55,21
61,61,Delivered,12:16:02,8
62,62,Delivered,03:45:46,12
63,63,Delivered,11:33:18,26
64,64,Delivered,03:24:14,34
65,65,Delivered,08:33:51,30
66,66,Delivered,02:54:56,23
67,67,Not Delivered,12:53:48,7
68,68,Not Delivered,03:40:43,34
69,69,Delivered,08:57:59,28
70,70,Delivered,02:48:36,23
71,71,Delivered,01:07:48,7
72,72,Delivered,06:35:39,31
73,73,Delivered,02:25:28,25
74,74,Delivered,02:29:10,19
75,75,Delivered,07:55:38,19
76,76,Not Delivered,09:13:34,22
77,77,Delivered,01:50:37,20
78,78,Delivered,01:34:56,14
79,79,Delivered,02:00:09,9
80,80,Delivered,00:37:45,33
81,81,Delivered,06:06:06,31
82,82,Delivered,01:11:14,20
83,83,Delivered,09:05:30,31
84,84,Delivered,04:33:40,29
85,85,Delivered,06:46:15,19
86,86,Delivered,10:25:33,23
87,87,Not Delivered,06:24:18,27
88,88,Delivered,12:33:10,33
89,89,Delivered,12:31:40,6
90,90,Delivered,11:29:20,13
91,91,Delivered,07:40:59,20
92,92,Delivered,09:40:28,9
93,93,Delivered,12:34:37,21
94,94,Delivered,03:46:37,24
95,95,Delivered,07:00:12,10
96,96,Delivered,02:13:26,2
97,97,Delivered,04:33:28,9
98,98,Delivered,04:05:35,25
99,99,Delivered,10:50:43,24
100,100,Delivered,03:34:20,14
101,101,Delivered,07:37:19,11
102,102,Delivered,06:21:44,4
103,103,Delivered,05:39:27,25
104,104,Delivered,12:30:36,5
105,105,Delivered,10:36:14,27
106,106,Delivered,04:34:20,20
107,107,Delivered,02:23:43,18
108,108,Delivered,02:31:44,18
109,109,Delivered,12:42:26,7
110,110,Delivered,05:19:03,1
111,111,Delivered,09:14:35,28
112,112,Delivered,12:07:16,4
113,113,Delivered,11:12:30,34
114,114,Delivered,06:38:25,29
115,115,Delivered,07:05:28,4
116,116,Not Delivered,03:12:03,5
117,117,Delivered,02:20:32,7
118,118,Delivered,03:11:48,15
119,119,Delivered,03:06:49,2
120,120,Delivered,05:05:43,3
121,121,Delivered,00:10:46,10
122,122,Delivered,05:07:34,18
123,123,Delivered,04:32:23,9
124,124,Delivered,12:35:43,19
125,125,Delivered,03:02:53,20
126,126,Delivered,02:29:32,18
127,127,Delivered,08:11:49,33
128,128,Delivered,03:42:19,21
129,129,Delivered,06:42:13,34
130,130,Delivered,07:23:00,34
131,131,Delivered,09:42:41,25
132,132,Not Delivered,12:26:23,16
133,133,Delivered,02:02:08,24
134,134,Delivered,12:51:38,11
135,135,Delivered,00:22:03,18
136,136,Not Delivered,02:10:44,9
137,137,Delivered,10:37:02,19
138,138,Delivered,04:24:26,13
139,139,Delivered,04:38:19,26
140,140,Delivered,06:25:22,22
141,141,Delivered,01:43:20,26
142,142,Delivered,00:36:01,14
143,143,Not Delivered,07:41:20,30
144,144,Delivered,00:03:11,1
145,145,Delivered,05:00:57,19
146,146,Delivered,07:45:08,28
147,147,Delivered,09:43:52,21
148,148,Delivered,04:13:28,34
149,149,Delivered,00:09:14,34
150,150,Delivered,04:57:18,33
151,151,Delivered,01:34:43,24
152,152,Not Delivered,11:04:57,10
153,153,Delivered,05:21:06,2
154,154,Delivered,10:52:12,21
155,155,Delivered,09:09:10,8
156,156,Delivered,09:33:57,25
157,157,Delivered,04:00:00,3
158,158,Delivered,11:38:43,12
159,159,Delivered,11:58:12,12
160,160,Delivered,11:11:08,29
161,161,Delivered,04:29:06,9
162,162,Delivered,00:27:13,19
163,163,Delivered,10:38:16,31
164,164,Delivered,06:28:14,32
165,165,Delivered,03:42:21,32
166,166,Delivered,05:32:10,17
