order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,27,241,Mutton Biryani,2023-03-28,23:53:42,Completed,583
2,17,139,Masala Dosa,2023-03-29,23:54:56,Completed,549
3,18,254,Chole Bhature,2023-03-30,23:57:20,Completed,493
4,21,734,Samosa,2023-03-31,23:59:35,Completed,562
5,4,5,Burger,2023-04-01,23:54:37,Completed,158
6,14,533,Paneer Butter Masala,2023-04-02,23:54:39,Completed,343
7,28,443,Prawn Masala,2023-04-03,23:53:13,Completed,221
8,23,337,Chole Bhature,2023-04-04,23:55:34,Completed,327
9,28,766,Egg Curry,2023-04-05,23:50:22,Completed,355
10,28,742,Chicken Shawarma,2023-04-06,23:56:03,Completed,471
11,4,403,Mutton Biryani,2023-04-07,23:55:39,Completed,571
12,33,291,Mutton Biryani,2023-04-08,23:54:45,Completed,190
13,11,317,Paneer Butter Masala,2023-04-09,23:59:06,Completed,285
14,24,266,Mutton Biryani,2023-04-10,23:55:38,Completed,516
15,30,629,Chole Bhature,2023-04-11,23:59:49,Completed,266
16,25,397,Prawn Masala,2023-04-12,23:56:06,Completed,435
17,9,12,Chicken Shawarma,2023-04-13,23:56:25,Completed,327
18,21,495,Mutton Rogan Josh,2023-04-14,23:55:53,Completed,536
19,3,63,Samosa,2023-04-15,23:58:30,Completed,463
20,1,200,Mutton Rogan Josh,2023-04-16,23:50:15,Completed,348
21,4,7,Chicken Shawarma,2023-04-17,23:50:48,Completed,357
22,20,142,Masala Dosa,2023-04-18,23:59:16,Completed,231
23,19,719,Burger,2023-04-19,23:53:22,Completed,258
24,23,92,Mutton Rogan Josh,2023-04-20,23:59:32,Completed,406
25,13,130,Chicken Shawarma,2023-04-21,23:51:09,Completed,442
26,19,766,Mutton Rogan Josh,2023-04-22,23:59:04,Completed,587
27,22,371,Mutton Rogan Josh,2023-04-23,23:59:56,Completed,280
28,21,567,Mutton Rogan Josh,2023-04-24,23:56:36,Completed,422
29,16,195,Pasta Alfredo,2023-04-25,23:59:59,Completed,291
30,6,238,Paneer Lababdar,2023-04-26,23:56:22,Completed,162
31,31,280,Mutton Rogan Josh,2023-04-27,23:54:53,Completed,216
32,24,228,Pasta Alfredo,2023-04-28,23:55:10,Completed,560
